ward_code,period,median_price
E05010922,Dec 1995,44000.0
E05010923,Dec 1995,44000.0
E05010924,Dec 1995,42875.0
E05010925,Dec 1995,56000.0
E05010921,Dec 1995,43500.0
E05010930,Dec 1995,87250.0
E05010932,Dec 1995,63000.0
E05011349,Dec 1995,62000.0
E05012969,Dec 1995,91500.0
E05010933,Dec 1995,63000.0
E05010934,Dec 1995,86750.0
E05010928,Dec 1995,56000.0
E05012968,Dec 1995,63725.0
E05010926,Dec 1995,63725.0
E05010929,Dec 1995,92000.0
E05011348,Dec 1995,82475.0
E05006546,Dec 1995,52000.0
E05006547,Dec 1995,94750.0
E05006548,Dec 1995,71950.0
E05006545,Dec 1995,64975.0
E05006549,Dec 1995,63000.0
E05006550,Dec 1995,64250.0
E05006552,Dec 1995,67750.0
E05006568,Dec 1995,89950.0
E05006566,Dec 1995,78000.0
E05006563,Dec 1995,73000.0
E05006561,Dec 1995,58950.0
E05006556,Dec 1995,82750.0
E05006558,Dec 1995,69875.0
E05006567,Dec 1995,124262.5
E05006553,Dec 1995,80000.0
E05006555,Dec 1995,75000.0
E05006564,Dec 1995,88600.0
E05006559,Dec 1995,76000.0
E05006551,Dec 1995,86000.0
E05006565,Dec 1995,107500.0
E05006562,Dec 1995,74000.0
E05006560,Dec 1995,137000.0
E05006557,Dec 1995,63000.0
E05009733,Dec 1995,105000.0
E05009734,Dec 1995,55000.0
E05009735,Dec 1995,94000.0
E05009736,Dec 1995,84500.0
E05011712,Dec 1995,133000.0
E05011704,Dec 1995,107000.0
E05009751,Dec 1995,88750.0
E05009743,Dec 1995,122475.0
E05011708,Dec 1995,128000.0
E05012853,Dec 1995,96000.0
E05011702,Dec 1995,58000.0
E05011710,Dec 1995,69000.0
E05011711,Dec 1995,72950.0
E05012854,Dec 1995,128000.0
E05011703,Dec 1995,56000.0
E05011705,Dec 1995,117500.0
E05009749,Dec 1995,69000.0
E05011701,Dec 1995,90000.0
E05009740,Dec 1995,57000.0
E05011707,Dec 1995,138500.0
E05009742,Dec 1995,105000.0
E05009754,Dec 1995,58950.0
E05012974,Dec 1995,59000.0
E05012978,Dec 1995,68000.0
E05012980,Dec 1995,90625.0
E05012972,Dec 1995,75500.0
E05011719,Dec 1995,87500.0
E05009755,Dec 1995,63250.0
E05009757,Dec 1995,71475.0
E05009769,Dec 1995,99250.0
E05011714,Dec 1995,135000.0
E05012970,Dec 1995,78000.0
E05012975,Dec 1995,72000.0
E05009770,Dec 1995,80000.0
E05012976,Dec 1995,71500.0
E05012992,Dec 1995,94375.0
E05011715,Dec 1995,78000.0
E05011717,Dec 1995,80000.0
E05011718,Dec 1995,111750.0
E05012973,Dec 1995,59950.0
E05012971,Dec 1995,64000.0
E05009771,Dec 1995,75600.0
E05012977,Dec 1995,88000.0
E05012979,Dec 1995,71200.0
E05011713,Dec 1995,87000.0
E05006627,Dec 1995,123500.0
E05006628,Dec 1995,97000.0
E05006629,Dec 1995,70000.0
E05006637,Dec 1995,66225.0
E05006650,Dec 1995,74000.0
E05006642,Dec 1995,78500.0
E05010782,Dec 1995,86802.5
E05006653,Dec 1995,81500.0
E05006638,Dec 1995,91000.0
E05006639,Dec 1995,78300.0
E05006640,Dec 1995,86000.0
E05006647,Dec 1995,75500.0
E05006632,Dec 1995,53500.0
E05006648,Dec 1995,72500.0
E05006649,Dec 1995,67500.0
E05006634,Dec 1995,63500.0
E05006643,Dec 1995,84750.0
E05010783,Dec 1995,76500.0
E05006651,Dec 1995,60000.0
E05009363,Dec 1995,161000.0
E05006644,Dec 1995,79747.5
E05006645,Dec 1995,90000.0
E05006646,Dec 1995,88375.0
E05009364,Dec 1995,78500.0
E05009365,Dec 1995,60000.0
E05010781,Dec 1995,120000.0
E05006652,Dec 1995,63950.0
E05010922,Mar 1996,46000.0
E05010923,Mar 1996,44000.0
E05010924,Mar 1996,43000.0
E05010925,Mar 1996,55995.0
E05010921,Mar 1996,42500.0
E05010930,Mar 1996,90000.0
E05010932,Mar 1996,63000.0
E05011349,Mar 1996,64725.5
E05012969,Mar 1996,91500.0
E05010933,Mar 1996,63000.0
E05010934,Mar 1996,92500.0
E05010928,Mar 1996,56250.0
E05012968,Mar 1996,66950.0
E05010926,Mar 1996,64000.0
E05010929,Mar 1996,85000.0
E05011348,Mar 1996,84500.0
E05006546,Mar 1996,52000.0
E05006547,Mar 1996,98500.0
E05006548,Mar 1996,69950.0
E05006545,Mar 1996,61500.0
E05006549,Mar 1996,64000.0
E05006550,Mar 1996,67150.0
E05006552,Mar 1996,67500.0
E05006568,Mar 1996,90000.0
E05006566,Mar 1996,78000.0
E05006563,Mar 1996,70375.0
E05006561,Mar 1996,58497.5
E05006556,Mar 1996,86995.0
E05006558,Mar 1996,68000.0
E05006567,Mar 1996,119950.0
E05006553,Mar 1996,83500.0
E05006555,Mar 1996,77500.0
E05006564,Mar 1996,88600.0
E05006559,Mar 1996,76000.0
E05006551,Mar 1996,88380.0
E05006565,Mar 1996,100000.0
E05006562,Mar 1996,72500.0
E05006560,Mar 1996,133250.0
E05006557,Mar 1996,63000.0
E05009733,Mar 1996,102000.0
E05009734,Mar 1996,57000.0
E05009735,Mar 1996,98500.0
E05009736,Mar 1996,84500.0
E05011712,Mar 1996,131000.0
E05011704,Mar 1996,115000.0
E05009751,Mar 1996,87500.0
E05009743,Mar 1996,124950.0
E05011708,Mar 1996,112000.0
E05012853,Mar 1996,96000.0
E05011702,Mar 1996,58125.0
E05011710,Mar 1996,71000.0
E05011711,Mar 1996,79000.0
E05012854,Mar 1996,135000.0
E05011703,Mar 1996,56362.5
E05011705,Mar 1996,123975.0
E05009749,Mar 1996,69475.0
E05011701,Mar 1996,94950.0
E05009740,Mar 1996,58000.0
E05011707,Mar 1996,133500.0
E05009742,Mar 1996,98000.0
E05009754,Mar 1996,58250.0
E05012974,Mar 1996,58000.0
E05012978,Mar 1996,68000.0
E05012980,Mar 1996,88250.0
E05012972,Mar 1996,80000.0
E05011719,Mar 1996,84815.0
E05009755,Mar 1996,64975.0
E05009757,Mar 1996,66875.0
E05009769,Mar 1996,87500.0
E05011714,Mar 1996,127000.0
E05012970,Mar 1996,78100.0
E05012975,Mar 1996,69000.0
E05009770,Mar 1996,78750.0
E05012976,Mar 1996,73000.0
E05012992,Mar 1996,96250.0
E05011715,Mar 1996,78000.0
E05011717,Mar 1996,77475.0
E05011718,Mar 1996,110750.0
E05012973,Mar 1996,58500.0
E05012971,Mar 1996,64850.0
E05009771,Mar 1996,78500.0
E05012977,Mar 1996,88000.0
E05012979,Mar 1996,70000.0
E05011713,Mar 1996,87000.0
E05006627,Mar 1996,100000.0
E05006628,Mar 1996,117500.0
E05006629,Mar 1996,74995.0
E05006637,Mar 1996,69000.0
E05006650,Mar 1996,77000.0
E05006642,Mar 1996,85500.0
E05010782,Mar 1996,89250.0
E05006653,Mar 1996,82572.0
E05006638,Mar 1996,89500.0
E05006639,Mar 1996,78000.0
E05006640,Mar 1996,84250.0
E05006647,Mar 1996,74000.0
E05006632,Mar 1996,60000.0
E05006648,Mar 1996,70000.0
E05006649,Mar 1996,70000.0
E05006634,Mar 1996,64000.0
E05006643,Mar 1996,85000.0
E05010783,Mar 1996,74000.0
E05006651,Mar 1996,62000.0
E05009363,Mar 1996,165000.0
E05006644,Mar 1996,108995.0
E05006645,Mar 1996,88250.0
E05006646,Mar 1996,92000.0
E05009364,Mar 1996,81000.0
E05009365,Mar 1996,60000.0
E05010781,Mar 1996,124000.0
E05006652,Mar 1996,59995.0
E05010922,Jun 1996,46000.0
E05010923,Jun 1996,45000.0
E05010924,Jun 1996,42875.0
E05010925,Jun 1996,55900.0
E05010921,Jun 1996,44737.0
E05010930,Jun 1996,92500.0
E05010932,Jun 1996,63000.0
E05011349,Jun 1996,65500.0
E05012969,Jun 1996,105000.0
E05010933,Jun 1996,62250.0
E05010934,Jun 1996,94000.0
E05010928,Jun 1996,56750.0
E05012968,Jun 1996,69475.0
E05010926,Jun 1996,59972.5
E05010929,Jun 1996,86750.0
E05011348,Jun 1996,79000.0
E05006546,Jun 1996,52500.0
E05006547,Jun 1996,99500.0
E05006548,Jun 1996,66350.0
E05006545,Jun 1996,63625.0
E05006549,Jun 1996,64500.0
E05006550,Jun 1996,66800.0
E05006552,Jun 1996,70000.0
E05006568,Jun 1996,89950.0
E05006566,Jun 1996,78250.0
E05006563,Jun 1996,72975.0
E05006561,Jun 1996,58850.0
E05006556,Jun 1996,87250.0
E05006558,Jun 1996,67250.0
E05006567,Jun 1996,105000.0
E05006553,Jun 1996,88000.0
E05006555,Jun 1996,75950.0
E05006564,Jun 1996,89950.0
E05006559,Jun 1996,76000.0
E05006551,Jun 1996,91250.0
E05006565,Jun 1996,93750.0
E05006562,Jun 1996,75000.0
E05006560,Jun 1996,125000.0
E05006557,Jun 1996,61500.0
E05009733,Jun 1996,91000.0
E05009734,Jun 1996,63950.0
E05009735,Jun 1996,94950.0
E05009736,Jun 1996,85000.0
E05011712,Jun 1996,135000.0
E05011704,Jun 1996,122500.0
E05009751,Jun 1996,98000.0
E05009743,Jun 1996,135500.0
E05011708,Jun 1996,98000.0
E05012853,Jun 1996,96000.0
E05011702,Jun 1996,58516.0
E05011710,Jun 1996,70000.0
E05011711,Jun 1996,79500.0
E05012854,Jun 1996,135000.0
E05011703,Jun 1996,56625.0
E05011705,Jun 1996,148500.0
E05009749,Jun 1996,70000.0
E05011701,Jun 1996,106500.0
E05009740,Jun 1996,57750.0
E05011707,Jun 1996,130000.0
E05009742,Jun 1996,104500.0
E05009754,Jun 1996,58950.0
E05012974,Jun 1996,57500.0
E05012978,Jun 1996,70000.0
E05012980,Jun 1996,76000.0
E05012972,Jun 1996,81000.0
E05011719,Jun 1996,82000.0
E05009755,Jun 1996,65000.0
E05009757,Jun 1996,66875.0
E05009769,Jun 1996,77500.0
E05011714,Jun 1996,108000.0
E05012970,Jun 1996,74750.0
E05012975,Jun 1996,69000.0
E05009770,Jun 1996,68975.0
E05012976,Jun 1996,75500.0
E05012992,Jun 1996,96250.0
E05011715,Jun 1996,78500.0
E05011717,Jun 1996,79975.0
E05011718,Jun 1996,124000.0
