Local authority code,Local authority name,Ward code,Ward name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
E07000177,Cherwell,E05010922,Banbury Grimsbury and Hightown,44000.0,46000.0,46000.0,47000.0,47500.0,47500.0,50000.0,51000.0,55500.0,56995.0,58500.0,59995.0,62750.0,62950.0,62950.0,65975.0,68000.0,72500.0,77450.0,80000.0,84950.0,86250.0,88000.0,88925.0,89000.0,89000.0,93000.0,98250.0,106500.0,109250.0,117500.0,121975.0,126000.0,133000.0,133000.0,140000.0,140000.0,139000.0,141000.0,135750.0,142000.0,144750.0,145750.0,152725.0,154500.0,154000.0,155000.0,156447.5,159000.0,161752.0,163000.0,160632.0,159000.0,158000.0,146000.0,144000.0,140750.0,140500.0,144750.0,144500.0,140000.0,140000.0,139950.0,141000.0,145000.0,146750.0,145000.0,148000.0,152500.0,159500.0,160000.0,162000.0,162500.0,165000.0,167750.0,170000.0,172000.0,170000.0,168250.0,172250.0,177500.0,178750.0,186000.0,192500.0,190000.0,200000.0,198000.0,200000.0,211250.0,209000.0,214500.0,215000.0,208000.0,205000.0,195000.0,196750.0,205000.0,200000.0,200000.0,205000.0,195000.0,212000.0,225000.0,221500.0,225000.0,229500.0,225000.0,240000.0,240000.0,240000.0
E07000177,Cherwell,E05010923,Banbury Hardwick,44000.0,44000.0,45000.0,44500.0,45000.0,45000.0,46800.0,49050.0,51000.0,54000.0,56995.0,58500.0,59000.0,59000.0,59950.0,60000.0,64000.0,65500.0,70000.0,73500.0,78000.0,81500.0,84950.0,86000.0,90000.0,94000.0,99000.0,107750.0,115500.0,119725.0,132000.0,144975.0,156997.5,160000.0,161000.0,160000.0,159000.0,158000.0,165000.0,166000.0,162270.0,164950.0,162270.0,165000.0,170500.0,170000.0,170500.0,172000.0,171800.0,173750.0,175000.0,172500.0,163875.0,165000.0,158000.0,151000.0,155000.0,152000.0,165000.0,165000.0,180000.0,180000.0,180000.0,171000.0,158500.0,158475.0,158000.0,160000.0,167000.0,174000.0,180000.0,175000.0,180000.0,184250.0,190000.0,195000.0,195000.0,195000.0,195000.0,195000.0,208500.0,214375.0,227250.0,230000.0,237500.0,232000.0,236000.0,236000.0,230000.0,255997.5,255000.0,253750.0,257000.0,250000.0,240500.0,243000.0,247500.0,247500.0,250000.0,247500.0,252000.0,256750.0,267250.0,270000.0,270000.0,267500.0,256000.0,255000.0,255000.0,265000.0
E07000177,Cherwell,E05010924,Banbury Ruscote,42875.0,43000.0,42875.0,42875.0,41250.0,41750.0,43500.0,44600.0,47000.0,48500.0,50500.0,53000.0,54000.0,55000.0,58000.0,59000.0,64000.0,64000.0,67500.0,68500.0,73457.5,77500.0,79950.0,79950.0,80000.0,83500.0,88500.0,90000.0,97000.0,100000.0,105000.0,115000.0,119950.0,121500.0,120500.0,124500.0,127250.0,130000.0,132000.0,134500.0,135000.0,138000.0,139225.0,140000.0,141000.0,144000.0,147500.0,151500.0,155000.0,156500.0,157000.0,159000.0,154000.0,154000.0,140000.0,133850.0,134350.0,134000.0,139500.0,145000.0,145500.0,146000.0,143000.0,140000.0,139500.0,138500.0,142500.0,145000.0,145000.0,147000.0,149000.0,157000.0,160000.0,164000.0,160000.0,163000.0,169000.0,170000.0,175000.0,183500.0,185000.0,188000.0,191000.0,202250.0,205500.0,207500.0,210000.0,210000.0,211500.0,211500.0,210000.0,210000.0,210000.0,210000.0,210000.0,205000.0,200000.0,201500.0,205000.0,203000.0,215000.0,215000.0,215000.0,224000.0,230000.0,235000.0,240000.0,250000.0,255000.0,255000.0
E07000177,Cherwell,E05010925,Bicester East,56000.0,55995.0,55900.0,55000.0,54350.0,55750.0,58000.0,59000.0,61500.0,62000.0,63000.0,64000.0,66000.0,67000.0,69725.0,73000.0,77500.0,84000.0,84950.0,87500.0,88000.0,89000.0,94000.0,97500.0,99950.0,104997.5,109950.0,115000.0,124950.0,129000.0,134000.0,139000.0,135000.0,137000.0,140000.0,144000.0,151500.0,155500.0,157500.0,158497.5,157000.0,156225.0,157000.0,161000.0,164475.0,166000.0,169995.0,180000.0,185000.0,185000.0,186000.0,187250.0,184000.0,180000.0,172000.0,170000.0,172000.0,171500.0,172250.0,172000.0,175000.0,175000.0,175000.0,185000.0,180000.0,182500.0,180000.0,179250.0,180000.0,183500.0,184950.0,186500.0,198000.0,202750.0,217750.0,228750.5,230000.0,230000.0,232000.0,234250.0,245000.0,252500.0,265000.0,265000.0,274475.0,273950.0,272225.0,270000.0,270000.0,270000.0,270000.0,270500.0,280000.0,280000.0,293000.0,295000.0,300000.0,280000.0,270000.0,275000.0,277000.0,285000.0,298775.0,280500.0,285000.0,287000.0,285000.0,297000.0,310000.0,311000.0
E07000177,Cherwell,E05010921,Banbury Cross and Neithrop,43500.0,42500.0,44737.0,45750.0,47000.0,49125.0,51250.0,51500.0,52500.0,53250.0,54000.0,55000.0,54000.0,55000.0,55000.0,58250.0,62500.0,65000.0,69500.0,71250.0,76500.0,81000.0,85500.0,86950.0,88000.0,90000.0,91000.0,95000.0,109950.0,110000.0,114000.0,117750.0,121000.0,124500.0,130000.0,132000.0,135000.0,137500.0,145000.0,146250.0,154950.0,154475.0,157477.0,159500.0,158950.0,160000.0,160000.0,163000.0,163725.0,166000.0,169000.0,157000.0,156125.0,154500.0,150000.0,152500.0,151000.0,149500.0,152000.0,150000.0,157000.0,157975.0,161000.0,169500.0,159000.0,159000.0,158000.0,151000.0,151000.0,152000.0,153500.0,160000.0,160000.0,163000.0,166625.0,167750.0,173750.0,176000.0,176500.0,182250.0,184000.0,185000.0,189975.0,193500.0,196000.0,205500.0,217500.0,207500.0,217500.0,225000.0,227500.0,249995.0,245000.0,244025.0,243027.5,243027.5,243027.5,260000.0,261250.0,247000.0,236000.0,250000.0,250000.0,245000.0,250000.0,245000.0,246500.0,250000.0,250625.0,250000.0
E07000177,Cherwell,E05010930,Deddington,87250.0,90000.0,92500.0,107000.0,107750.0,109000.0,109500.0,111500.0,115000.0,115000.0,120000.0,124500.0,130000.0,139475.0,145000.0,149950.0,149975.0,149975.0,151000.0,159950.0,171475.0,174000.0,182000.0,177000.0,178000.0,180450.0,179475.0,198500.0,210500.0,217000.0,246250.0,249950.0,249972.5,249225.0,240000.0,250000.0,275000.0,279250.0,280000.0,263500.0,268750.0,265000.0,260000.0,275000.0,250000.0,255000.0,275000.0,284000.0,300000.0,296000.0,290875.0,283000.0,280000.0,281250.0,277500.0,283000.0,270000.0,285000.0,287500.0,307500.0,330000.0,330750.0,342500.0,350000.0,340000.0,331250.0,325000.0,295000.0,310000.0,312500.0,331750.0,325000.0,325000.0,330000.0,342000.0,360000.0,330000.0,331000.0,325000.0,322475.0,340000.0,349950.0,350000.0,375000.0,375000.0,375000.0,385000.0,385000.0,414000.0,420000.0,420000.0,425000.0,421000.0,425000.0,421000.0,416500.0,398475.0,374000.0,372000.0,382500.0,435000.0,475000.0,485000.0,484975.0,460000.0,450000.0,416500.0,450000.0,477500.0,480000.0
E07000177,Cherwell,E05010932,Kidlington East,63000.0,63000.0,63000.0,65500.0,66500.0,70000.0,72750.0,74475.0,76725.0,78500.0,83500.0,87000.0,88875.0,90000.0,91250.0,95000.0,99997.5,105000.0,115000.0,119995.0,120750.0,122250.0,126000.0,132000.0,130000.0,135000.0,143975.0,149997.5,165000.0,170000.0,170000.0,178000.0,176000.0,180000.0,186750.0,196000.0,210000.0,210000.0,205000.0,205000.0,209995.0,208250.0,210000.0,216000.0,225000.0,230000.0,236200.0,245000.0,245000.0,242955.0,240000.0,225000.0,218995.0,209000.0,205000.0,206000.0,215000.0,217475.0,226000.0,236000.0,234995.0,237500.0,240250.0,231250.0,227500.0,230000.0,229000.0,230000.0,235250.0,236750.0,245000.0,249950.0,250000.0,250000.0,259750.5,265000.0,270000.0,282500.0,282250.0,300000.0,315000.0,325000.0,347000.0,356500.0,347000.0,348750.0,337000.0,330000.0,332250.0,336000.0,338750.0,350000.0,357500.0,352000.0,350000.0,341000.0,327500.0,320000.0,325000.0,327000.0,338500.0,369750.0,366000.0,368750.0,364500.0,365500.0,368500.0,367000.0,390000.0,385000.0
E07000177,Cherwell,E05011349,Banbury Calthorpe and Easington,62000.0,64725.5,65500.0,66000.0,66000.0,69750.0,73000.0,73500.0,77000.0,79000.0,79725.0,80000.0,80000.0,81500.0,80000.0,84000.0,88500.0,90000.0,99000.0,103000.0,109500.0,112000.0,114000.0,117000.0,122000.0,122500.0,129000.0,135000.0,137250.0,148975.0,157500.0,163500.0,162000.0,162000.0,165000.0,167250.0,172500.0,175000.0,177000.0,178000.0,180000.0,184000.0,194000.0,190000.0,193500.0,193000.0,197250.0,200000.0,205000.0,210000.0,209500.0,209000.0,189000.0,186750.0,181500.0,185500.0,189475.0,190000.0,200000.0,201500.0,210000.0,205000.0,205000.0,205000.0,199000.0,197750.0,205000.0,207500.0,212997.5,215000.0,206000.0,210000.0,212000.0,215000.0,220000.0,227500.0,238000.0,249497.5,243000.0,248975.0,247750.0,250000.0,260000.0,267500.0,270000.0,282000.0,300000.0,285000.0,290475.0,295000.0,295000.0,305900.0,309750.0,308000.0,309375.0,305000.0,312000.0,312000.0,310000.0,305995.0,306000.0,310000.0,319995.0,323750.0,329995.0,335000.0,329995.0,337200.0,360000.0,364494.0
E07000177,Cherwell,E05012969,Fringford and Heyfords,91500.0,91500.0,105000.0,107975.0,107000.0,112500.0,112000.0,112000.0,116000.0,115000.0,119950.0,125000.0,121000.0,127750.0,125000.0,125000.0,146000.0,145000.0,154000.0,155500.0,151500.0,155500.0,173750.0,174000.0,186500.0,195000.0,185000.0,209000.0,211250.0,225000.0,245000.0,245000.0,249997.5,250000.0,260100.0,273500.0,275000.0,270000.0,265000.0,265000.0,250000.0,279950.0,303750.0,295000.0,295000.0,292250.0,292000.0,312000.0,341500.0,349500.0,362500.0,360000.0,300000.0,284300.0,295000.0,285000.0,285250.0,300000.0,300000.0,315053.0,325000.0,320106.0,315000.0,311250.0,345000.0,326750.0,328000.0,330000.0,310000.0,310000.0,310000.0,312750.0,320000.0,331497.5,330000.0,329995.0,345000.0,350000.0,394995.0,395999.0,375000.0,369950.0,362500.0,359950.0,368472.5,365000.0,369995.0,374995.0,384975.0,402972.5,405472.5,410000.0,405000.0,409472.5,410000.0,409950.0,395000.0,395000.0,390000.0,400000.0,425000.0,419000.0,412000.0,405000.0,400000.0,401750.0,410500.0,424500.0,437500.0,437600.0
E07000177,Cherwell,E05010933,Kidlington West,63000.0,63000.0,62250.0,65000.0,64000.0,66500.0,69500.0,71500.0,74995.0,75000.0,76500.0,77000.0,80000.0,81350.0,85000.0,88500.0,90000.0,95000.0,98000.0,102000.0,110000.0,113000.0,117000.0,122250.0,126000.0,136000.0,142000.0,154000.0,157500.0,160000.0,160000.0,161000.0,168000.0,174000.0,179725.0,192250.0,198000.0,198250.0,196000.0,187250.0,189250.0,196750.0,201000.0,205000.0,211500.0,214500.0,220000.0,235000.0,239950.0,240000.0,239950.0,228750.0,214256.0,207250.0,189000.0,191000.0,200000.0,210000.0,225000.0,225000.0,235000.0,228000.0,234995.0,238000.0,240000.0,237500.0,226000.0,230000.0,236000.0,240000.0,247475.0,241000.0,242000.0,246000.0,250000.0,273750.0,273750.0,275000.0,280000.0,289500.0,311250.0,325000.0,337500.0,345000.0,342500.0,343250.0,340750.0,327500.0,317000.0,325000.0,315000.0,315000.0,329500.0,316250.0,320250.0,325000.0,311250.0,308000.0,315000.0,305000.0,330000.0,360000.0,362500.0,360000.0,350000.0,349000.0,338500.0,349000.0,370000.0,380000.0
